Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w,3+
Josh Hazlewood,RCB,22,12,12,44,386,33/4,17.54,8.77,12,1,0,9
Krunal Pandya,RCB,17,15,15,46,379,45/4,22.29,8.23,16.23,1,0,10
Bhuvneshwar Kumar,RCB,17,14,14,52,483,33/3,28.41,9.28,18.35,0,0,24
Yash Dayal,RCB,13,15,15,49,470,18/2,36.15,9.59,22.61,0,0,45
Suyash Sharma,RCB,8,14,14,50,442,17/3,55.25,8.84,37.5,0,0,55
Romario Shepherd,RCB,6,8,7,14,151,14/2,25.16,10.78,14,0,0,66
Lungisani Ngidi,RCB,4,2,2,8,81,30/3,20.25,10.12,12,0,0,76
Liam Livingstone,RCB,2,10,5,9,76,28/2,38,8.44,27,0,0,89
Nuwan Thushara,RCB,1,1,1,4,26,26/1,26,6.5,24,0,0,98
Rasikh Dar,RCB,1,2,2,6,70,35/1,70,11.66,36,0,0,0